Timestamp,Latency(ms),Status,DNS(ms),SSL Expiry,Days Left,Search(ms)
2026-07-29 12:29:42,86.56,200,1.24,2026-09-15,48,77.74
2026-07-29 13:02:47,115.84,200,0.63,2026-09-15,48,76.28
2026-07-29 13:03:48,77.67,200,0.35,2026-09-15,48,75.12
2026-07-29 13:04:48,81.49,200,0.94,2026-09-15,48,83.27
2026-07-29 13:05:48,76.87,200,0.88,2026-09-15,48,79.01
2026-07-29 13:06:48,105.08,200,0.47,2026-09-15,48,75.93
2026-07-29 13:07:49,91.23,200,0.39,2026-09-15,48,74.53
2026-07-29 13:08:49,87.99,200,0.38,2026-09-15,48,86.44
2026-07-29 13:09:49,78.44,200,0.6,2026-09-15,48,78.73
2026-07-29 13:10:50,75.26,200,0.45,2026-09-15,47,75.22
2026-07-29 13:11:50,78.65,200,0.4,2026-09-15,47,78.07
2026-07-29 13:12:50,82.63,200,0.31,2026-09-15,47,98.73
2026-07-29 13:13:50,76.69,200,0.38,2026-09-15,47,76.14
2026-07-29 13:14:51,78.32,200,0.29,2026-09-15,47,79.26
2026-07-29 13:15:51,78.01,200,0.34,2026-09-15,47,77.86
2026-07-29 13:16:51,78.61,200,2.42,2026-09-15,47,75.91
2026-07-29 13:17:51,112.39,200,0.39,2026-09-15,47,78.11
2026-07-29 13:18:52,76.81,200,3.9,2026-09-15,47,79.26
2026-07-29 13:19:52,76.79,200,0.29,2026-09-15,47,81.39
2026-07-29 13:20:52,81.92,200,0.38,2026-09-15,47,81.31
2026-07-29 13:21:52,79.67,200,0.39,2026-09-15,47,75.22
2026-07-29 13:22:53,91.11,200,0.35,2026-09-15,47,77.56
2026-07-29 13:23:53,85.6,200,4.12,2026-09-15,47,75.11
2026-07-29 13:24:53,79.27,200,0.36,2026-09-15,47,80.63
2026-07-29 13:25:53,77.88,200,0.32,2026-09-15,47,82.34
2026-07-29 13:26:54,79.35,200,0.49,2026-09-15,47,74.78
2026-07-29 13:27:54,96.65,200,0.37,2026-09-15,47,75.99
2026-07-29 13:28:54,81.67,200,1.55,2026-09-15,47,72.96
2026-07-29 13:29:54,96.08,200,4.82,2026-09-15,47,77.69
2026-07-29 13:30:56,931.52,200,0.33,2026-09-15,47,83.28
2026-07-29 13:31:56,80.81,200,1.11,2026-09-15,47,79.18
2026-07-29 13:32:56,156.07,200,0.5,2026-09-15,47,77.07
2026-07-29 13:35:19,84.33,200,1.81,2026-09-15,47,89.93
2026-07-29 13:36:20,82.3,200,0.45,2026-09-15,47,76.14
2026-07-29 13:37:20,81.27,200,0.38,2026-09-15,47,78.65
2026-07-29 13:38:20,176.09,200,0.53,2026-09-15,47,102.99
2026-07-29 13:46:29,92.47,200,0.31,2026-09-15,47,73.5
2026-07-29 13:47:29,79.73,200,0.32,2026-09-15,47,79.24
2026-07-29 13:48:29,76.52,200,0.64,2026-09-15,47,79.0
2026-07-29 13:49:29,80.01,200,0.55,2026-09-15,47,78.53
2026-07-29 13:50:30,78.15,200,1.62,2026-09-15,47,75.87
2026-07-29 13:51:30,135.51,200,0.43,2026-09-15,47,79.1
2026-07-29 13:52:30,75.61,200,0.36,2026-09-15,47,77.5
2026-07-29 13:53:31,77.33,200,0.38,2026-09-15,47,120.55
2026-07-29 13:54:31,77.05,200,0.57,2026-09-15,47,77.96
2026-07-29 13:55:31,78.7,200,0.4,2026-09-15,47,72.49
2026-07-29 13:56:31,100.53,200,0.36,2026-09-15,47,76.88
2026-07-29 13:57:32,82.96,200,0.38,2026-09-15,47,86.56
2026-07-29 13:58:32,96.16,200,0.45,2026-09-15,47,74.9
2026-07-29 13:59:32,79.9,200,0.32,2026-09-15,47,74.98
2026-07-29 14:00:32,80.24,200,1.81,2026-09-15,47,73.09
2026-07-29 14:01:33,130.87,200,0.35,2026-09-15,47,76.39
